Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
3470.22,ATM Withdrawal,22.0,Tablet,Houston,4,104,4,Net Banking,1
481.13,ATM Withdrawal,14.0,Tablet,San Francisco,1,42,1,Net Banking,1
1061.4,Bank Transfer,20.0,Mobile,Chicago,3,51,2,Debit Card,1
1972.09,Bill Payment,19.0,Mobile,San Francisco,4,114,7,Debit Card,1
1917.99,ATM Withdrawal,6.0,Tablet,Houston,3,76,3,Net Banking,1
826.93,Online Purchase,17.0,Desktop,Houston,0,19,13,Net Banking,1
256.87,Online Purchase,20.0,Desktop,Chicago,1,52,2,Debit Card,1
3865.78,POS Payment,22.0,Desktop,Los Angeles,0,93,2,Net Banking,1
1925.94,Bank Transfer,5.0,Mobile,Boston,4,40,4,Credit Card,1
1521.55,Bill Payment,23.0,Mobile,New York,1,9,6,Debit Card,1
2990.14,Bill Payment,21.0,Tablet,Miami,1,118,10,UPI,1
4506.11,Bill Payment,17.0,Tablet,Houston,3,54,6,Debit Card,1
2040.68,Bill Payment,17.0,Tablet,Boston,1,61,3,Net Banking,1
3504.82,ATM Withdrawal,22.0,Mobile,New York,3,36,13,Net Banking,1
2133.01,ATM Withdrawal,6.0,Desktop,Chicago,0,95,9,Debit Card,1
3308.4,ATM Withdrawal,10.0,Tablet,Chicago,2,30,6,UPI,1
1357.44,Online Purchase,14.0,Tablet,Miami,4,65,9,Net Banking,1
1185.25,Bill Payment,16.0,Mobile,Los Angeles,0,74,1,UPI,1
188.03,POS Payment,19.0,Desktop,Houston,3,16,13,Net Banking,1
2563.89,POS Payment,13.0,Tablet,New York,0,49,3,UPI,1
1562.47,ATM Withdrawal,9.0,Mobile,Miami,1,77,6,Credit Card,1
3996.16,POS Payment,18.0,Desktop,San Francisco,2,117,8,Credit Card,1
1399.13,ATM Withdrawal,19.0,Desktop,Miami,4,105,8,UPI,1
1224.35,POS Payment,8.0,Desktop,Chicago,4,25,1,Debit Card,1
4566.42,Bank Transfer,8.0,Mobile,Houston,3,62,2,Credit Card,1
2378.0,Online Purchase,18.0,Desktop,Boston,3,39,1,UPI,1
4113.99,ATM Withdrawal,2.0,Desktop,Chicago,1,104,10,Invalid Method,1
4043.66,Bill Payment,13.0,Mobile,Boston,3,41,9,Credit Card,1
1289.66,ATM Withdrawal,20.0,Tablet,Miami,0,96,8,Credit Card,1
4089.97,POS Payment,13.0,Tablet,Chicago,4,113,11,Net Banking,1
3487.72,ATM Withdrawal,17.0,Mobile,Boston,3,79,2,Debit Card,1
2481.79,Online Purchase,3.0,Mobile,Los Angeles,1,75,1,Net Banking,1
3172.66,Bank Transfer,22.0,Tablet,Seattle,4,110,7,Credit Card,1
2073.92,ATM Withdrawal,8.0,Desktop,Miami,3,113,9,Net Banking,1
3610.31,Online Purchase,14.0,Mobile,Chicago,3,36,1,Debit Card,1
1164.96,Online Purchase,20.0,Desktop,Los Angeles,2,21,12,UPI,1
2716.7,Bill Payment,8.0,Desktop,Houston,2,103,10,Credit Card,1
3798.86,Bank Transfer,16.0,Desktop,San Francisco,0,67,10,Credit Card,1
768.41,Bank Transfer,16.0,Tablet,Los Angeles,2,85,9,UPI,1
2917.64,ATM Withdrawal,22.0,Mobile,Chicago,3,75,11,Net Banking,1
2198.93,Bank Transfer,22.0,Mobile,Chicago,0,52,10,UPI,1
3804.84,ATM Withdrawal,23.0,Desktop,New York,1,35,10,UPI,1
3265.02,ATM Withdrawal,23.0,Tablet,Houston,2,66,4,Debit Card,1
1309.98,Bank Transfer,21.0,Desktop,San Francisco,2,81,11,Debit Card,1
4417.25,POS Payment,11.0,Desktop,Los Angeles,0,35,3,Invalid Method,1
4835.91,Bank Transfer,6.0,Tablet,Miami,2,24,3,Credit Card,1
228.6,POS Payment,7.0,Tablet,Chicago,2,68,4,UPI,1
3768.79,Bill Payment,11.0,Tablet,Boston,1,53,9,Credit Card,1
1883.43,Bill Payment,16.0,Tablet,Seattle,1,52,2,Credit Card,1
896.29,Bank Transfer,8.0,Tablet,Houston,1,100,8,Credit Card,1
2548.53,Online Purchase,11.0,Mobile,New York,3,98,2,UPI,1
1416.78,Bank Transfer,20.0,Desktop,Chicago,3,41,5,UPI,1
2820.48,Bill Payment,20.0,Desktop,Los Angeles,3,80,5,Debit Card,1
4237.27,Online Purchase,14.0,Mobile,Boston,0,88,9,Credit Card,1
3486.85,POS Payment,15.0,Mobile,Chicago,3,93,13,UPI,1
1285.34,Bank Transfer,21.0,Desktop,New York,4,118,2,Debit Card,1
1616.16,ATM Withdrawal,22.0,Desktop,Boston,2,104,7,Invalid Method,1
32.82,POS Payment,21.0,Desktop,Boston,3,60,8,UPI,1
592.68,Bank Transfer,21.0,Desktop,Miami,0,52,8,UPI,1
1060.76,Online Purchase,17.0,Mobile,Los Angeles,2,36,2,UPI,1
2616.88,Bank Transfer,11.0,Desktop,Chicago,1,52,1,Debit Card,1
1099.67,Bank Transfer,13.0,Mobile,Miami,0,70,3,Credit Card,1
301.37,Bank Transfer,19.0,Desktop,Chicago,1,110,8,Debit Card,1
2747.49,ATM Withdrawal,10.0,Mobile,Boston,3,48,4,UPI,1
4125.36,Bill Payment,17.0,Tablet,San Francisco,3,63,1,UPI,1
1764.19,POS Payment,8.0,Tablet,Boston,0,114,13,Net Banking,1
296.09,Online Purchase,5.0,Desktop,Boston,1,108,5,UPI,1
3962.75,ATM Withdrawal,13.0,Mobile,New York,3,32,3,Credit Card,1
4824.52,POS Payment,19.0,Desktop,Houston,4,43,2,UPI,1
3251.75,POS Payment,18.0,Desktop,Houston,2,96,2,Credit Card,1
2637.12,Bank Transfer,8.0,Mobile,Houston,4,56,10,Net Banking,1
2714.28,ATM Withdrawal,0.0,Tablet,Houston,3,89,4,Net Banking,1
746.07,Bank Transfer,6.0,Desktop,Houston,4,90,9,Debit Card,1
490.0,Bank Transfer,5.0,Desktop,Chicago,2,106,11,UPI,1
2838.54,Online Purchase,22.0,Mobile,New York,4,113,5,Debit Card,1
4083.96,ATM Withdrawal,15.0,Mobile,Chicago,1,46,7,UPI,1
3095.55,POS Payment,5.0,Tablet,Boston,0,110,11,Credit Card,1
4270.68,Online Purchase,19.0,Desktop,New York,4,114,11,Credit Card,1
4956.86,POS Payment,12.0,Desktop,Los Angeles,1,82,5,Credit Card,1
2511.94,Online Purchase,17.0,Mobile,San Francisco,3,83,8,UPI,1
2895.51,Online Purchase,13.0,Mobile,Boston,2,39,5,UPI,1
1597.08,ATM Withdrawal,18.0,Tablet,Seattle,0,88,4,Debit Card,1
2125.67,Bank Transfer,21.0,Mobile,Chicago,3,117,11,Net Banking,1
715.78,Bank Transfer,14.0,Mobile,Boston,3,28,1,UPI,1
49997.8,POS Payment,14.0,Tablet,Houston,4,4,1,Net Banking,1
1881.39,Bill Payment,17.0,Tablet,Houston,0,75,8,Credit Card,1
3580.41,ATM Withdrawal,18.0,Tablet,Chicago,1,112,6,Credit Card,1
3234.05,ATM Withdrawal,20.0,Desktop,Houston,1,53,7,Debit Card,1
1317.32,Bill Payment,23.0,Desktop,Los Angeles,3,63,6,Credit Card,1
249.9,Online Purchase,22.0,Tablet,Chicago,1,109,8,UPI,1
2746.12,Online Purchase,12.0,Desktop,Boston,3,74,1,Net Banking,1
4326.03,ATM Withdrawal,22.0,Mobile,New York,0,91,2,UPI,1
3725.69,Bank Transfer,14.0,Tablet,Boston,4,96,5,UPI,1
4308.84,Online Purchase,7.0,Mobile,Seattle,0,116,1,Credit Card,1
1253.2,Bank Transfer,23.0,Desktop,New York,2,4,2,UPI,1
2954.51,Online Purchase,22.0,Mobile,Seattle,2,94,4,Net Banking,1
3148.08,Bill Payment,10.0,Desktop,Houston,3,33,10,Debit Card,1
1530.92,Bill Payment,16.0,Tablet,Houston,0,40,14,Net Banking,1
587.93,ATM Withdrawal,16.0,Mobile,Houston,3,1,7,Net Banking,1
3442.74,Online Purchase,18.0,Tablet,Chicago,4,52,5,Net Banking,1
1262.79,ATM Withdrawal,17.0,Desktop,Miami,1,24,8,UPI,1
2859.74,Bill Payment,2.0,Mobile,Los Angeles,1,104,6,Credit Card,1
1023.04,Online Purchase,4.0,Tablet,Boston,1,59,14,Invalid Method,1
4907.83,Bank Transfer,3.0,Tablet,Chicago,4,115,12,Net Banking,1
2071.32,ATM Withdrawal,13.0,Mobile,Miami,3,54,3,Net Banking,1
4126.08,Bill Payment,17.0,Desktop,San Francisco,4,88,2,Net Banking,1
1761.01,Online Purchase,1.0,Tablet,Houston,1,114,6,Credit Card,1
1225.83,ATM Withdrawal,11.0,Mobile,Boston,0,36,4,Net Banking,1
3069.96,Online Purchase,14.0,Tablet,Houston,3,92,3,Net Banking,1
3050.12,Bill Payment,11.0,Mobile,Houston,0,78,2,Invalid Method,1
949.77,Bank Transfer,2.0,Desktop,Chicago,1,92,3,UPI,1
905.95,POS Payment,19.0,Mobile,Boston,3,68,11,Credit Card,1
3683.58,Online Purchase,14.0,Desktop,Chicago,1,101,12,Debit Card,1
3744.13,Bank Transfer,6.0,Mobile,Boston,4,20,10,Credit Card,1
2496.23,Online Purchase,23.0,Mobile,Los Angeles,0,78,10,Net Banking,1
478.81,Bank Transfer,22.0,Tablet,Boston,0,76,6,Debit Card,1
2676.23,Bill Payment,11.0,Tablet,Boston,3,88,5,Net Banking,1
3550.95,POS Payment,14.0,Desktop,Boston,1,17,12,Debit Card,1
4637.44,ATM Withdrawal,15.0,Desktop,Boston,1,21,5,Debit Card,1
502.99,POS Payment,14.0,Mobile,San Francisco,4,108,3,Debit Card,1
513.06,ATM Withdrawal,14.0,Desktop,Los Angeles,0,57,11,Debit Card,1
1655.39,Online Purchase,13.0,Tablet,Boston,4,66,4,UPI,1
3748.29,Bill Payment,15.0,Desktop,Boston,3,55,8,Net Banking,1
3838.48,Bank Transfer,12.0,Mobile,Seattle,2,118,7,Credit Card,1
489.14,ATM Withdrawal,10.0,Mobile,Boston,3,72,4,UPI,1
3702.27,Bank Transfer,4.0,Unknown Device,Miami,4,89,5,Net Banking,1
4235.39,POS Payment,3.0,Mobile,Boston,1,38,13,Net Banking,1
1318.22,Online Purchase,13.0,Desktop,Los Angeles,3,44,6,Credit Card,1
766.84,ATM Withdrawal,18.0,Tablet,Chicago,2,84,10,UPI,1
4010.39,Online Purchase,7.0,Unknown Device,Houston,1,1,2,Credit Card,1
2063.11,Bank Transfer,8.0,Mobile,Houston,2,88,8,Credit Card,1
456.16,Bank Transfer,13.0,Desktop,Boston,4,77,1,Credit Card,1
4364.91,Bank Transfer,5.0,Mobile,Boston,3,117,4,Debit Card,1
874.54,Bill Payment,16.0,Desktop,Boston,0,55,7,Debit Card,1
3784.88,ATM Withdrawal,8.0,Tablet,Houston,4,55,8,UPI,1
2579.42,Bill Payment,13.0,Tablet,Chicago,3,29,7,Debit Card,1
4370.83,Bill Payment,20.0,Mobile,Boston,1,103,13,Debit Card,1
3989.25,ATM Withdrawal,16.0,Mobile,San Francisco,2,101,11,UPI,1
2312.95,POS Payment,20.0,Mobile,Chicago,2,64,6,Net Banking,1
4519.9,POS Payment,21.0,Tablet,Los Angeles,3,41,9,UPI,1
483.58,Bank Transfer,14.0,Tablet,Los Angeles,2,34,4,UPI,1
4922.49,Bank Transfer,2.0,Mobile,Miami,2,110,8,Net Banking,1
4722.22,POS Payment,7.0,Desktop,Boston,1,27,11,Debit Card,1
4385.35,Bill Payment,14.0,Tablet,Los Angeles,1,97,10,Net Banking,1
3902.48,POS Payment,13.0,Tablet,Houston,0,73,4,Debit Card,1
2927.91,ATM Withdrawal,20.0,Desktop,New York,3,84,11,Net Banking,1
610.99,Bill Payment,13.0,Tablet,Miami,1,29,2,Credit Card,1
1419.56,Online Purchase,4.0,Mobile,Los Angeles,0,76,8,UPI,1
1149.61,POS Payment,6.0,Mobile,Los Angeles,0,114,8,UPI,1
2168.57,ATM Withdrawal,15.0,Mobile,Los Angeles,0,59,13,Net Banking,1
176.18,ATM Withdrawal,5.0,Desktop,Boston,0,80,1,Invalid Method,1
2407.55,Bank Transfer,16.0,Tablet,Boston,4,52,2,UPI,1
3254.16,Online Purchase,23.0,Tablet,Boston,4,57,2,Credit Card,1
3609.27,Bill Payment,11.0,Desktop,Houston,4,5,5,Debit Card,1
2215.07,Bank Transfer,23.0,Tablet,Chicago,1,63,9,Net Banking,1
3079.06,POS Payment,19.0,Desktop,Houston,0,119,1,Net Banking,1
3551.54,ATM Withdrawal,5.0,Desktop,Chicago,2,58,11,Debit Card,1
1438.07,Online Purchase,14.0,Mobile,New York,1,55,2,Credit Card,1
2197.74,Bill Payment,1.0,Mobile,Boston,3,88,1,Invalid Method,1
964.08,ATM Withdrawal,22.0,Desktop,San Francisco,0,106,12,UPI,1
4967.89,Online Purchase,13.0,Desktop,Chicago,1,96,9,UPI,1
2233.86,Online Purchase,7.0,Mobile,Miami,4,87,6,Net Banking,1
526.36,Bank Transfer,8.0,Desktop,Houston,4,5,2,Credit Card,1
1314.6,POS Payment,15.0,Mobile,Miami,0,106,7,Credit Card,1
2323.98,Bill Payment,11.0,Desktop,Miami,3,119,14,Net Banking,1
4759.96,Online Purchase,10.0,Mobile,Boston,4,21,8,Net Banking,1
3033.67,Online Purchase,8.0,Tablet,Los Angeles,4,74,7,Net Banking,1
4310.84,Bill Payment,21.0,Unknown Device,Seattle,3,73,5,Net Banking,1
858.25,Bill Payment,20.0,Desktop,Boston,2,35,12,Debit Card,1
49997.8,Online Purchase,10.0,Desktop,Chicago,0,69,13,UPI,1
1152.58,Bill Payment,4.0,Tablet,Miami,4,101,5,Debit Card,1
49997.8,ATM Withdrawal,18.0,Tablet,Los Angeles,0,36,2,Debit Card,1
324.31,ATM Withdrawal,9.0,Mobile,Boston,2,18,12,Net Banking,1
1407.35,ATM Withdrawal,18.0,Desktop,Boston,3,32,9,Credit Card,1
2112.71,Bank Transfer,5.0,Tablet,Miami,3,95,7,Net Banking,1
104.43,Online Purchase,13.0,Unknown Device,Houston,4,87,11,Debit Card,1
4922.72,Online Purchase,22.0,Mobile,New York,1,63,8,Credit Card,1
1720.85,Bill Payment,20.0,Tablet,Los Angeles,2,57,6,UPI,1
3878.21,Bank Transfer,6.0,Tablet,Chicago,0,31,13,Net Banking,1
3777.92,POS Payment,20.0,Unknown Device,Houston,1,18,3,Net Banking,1
2421.15,Bank Transfer,8.0,Tablet,Chicago,4,101,10,UPI,1
1549.84,Online Purchase,14.0,Tablet,Miami,3,94,14,Credit Card,1
2642.53,POS Payment,6.0,Mobile,Los Angeles,2,111,13,Net Banking,1
2808.92,Bill Payment,23.0,Mobile,Los Angeles,3,55,14,Credit Card,1
1699.82,Online Purchase,18.0,Tablet,Miami,4,60,8,Net Banking,1
4097.62,Online Purchase,8.0,Desktop,Miami,4,86,10,Credit Card,1
4442.78,Bill Payment,11.0,Desktop,Chicago,3,4,13,UPI,1
4473.7,ATM Withdrawal,11.0,Mobile,Los Angeles,0,3,8,UPI,1
676.08,Bank Transfer,0.0,Tablet,Boston,3,75,4,UPI,1
3803.48,Bill Payment,18.0,Desktop,Chicago,0,16,2,UPI,1
4991.45,ATM Withdrawal,18.0,Mobile,New York,1,16,9,Net Banking,1
2700.57,Bill Payment,13.0,Desktop,Chicago,4,55,4,Debit Card,1
504.9,POS Payment,9.0,Tablet,Boston,0,99,10,Credit Card,1
752.17,Bank Transfer,0.0,Mobile,Los Angeles,0,107,5,Credit Card,1
3517.65,ATM Withdrawal,10.0,Tablet,New York,0,63,6,Credit Card,1
3727.25,Bill Payment,14.0,Mobile,Boston,3,79,10,UPI,1
486.0,Bill Payment,21.0,Mobile,Miami,1,40,5,Debit Card,1
1956.79,POS Payment,21.0,Mobile,San Francisco,0,57,5,Credit Card,1
4470.55,Bank Transfer,17.0,Tablet,Los Angeles,3,35,10,Debit Card,1
1505.58,POS Payment,12.0,Desktop,Los Angeles,3,4,5,UPI,1
1278.11,Bank Transfer,7.0,Mobile,Los Angeles,1,45,3,Invalid Method,1
3667.0,Bank Transfer,23.0,Desktop,Chicago,2,14,13,Invalid Method,1
4755.79,Bill Payment,8.0,Mobile,New York,3,101,8,Net Banking,1
4745.98,ATM Withdrawal,17.0,Tablet,Boston,0,101,13,Net Banking,1
3829.97,ATM Withdrawal,17.0,Desktop,New York,4,3,2,UPI,1
213.74,Online Purchase,16.0,Tablet,Houston,0,28,1,Debit Card,1
1208.94,Online Purchase,7.0,Desktop,Miami,2,102,8,Net Banking,1
743.16,Bill Payment,10.0,Desktop,Houston,0,87,9,Debit Card,1
4746.46,Bank Transfer,20.0,Desktop,Chicago,1,102,9,Debit Card,1
49997.8,ATM Withdrawal,15.0,Mobile,Los Angeles,3,84,8,Net Banking,1
4774.86,Bill Payment,17.0,Mobile,Boston,2,68,5,Debit Card,1
1631.87,Bill Payment,7.0,Desktop,Houston,3,56,1,UPI,1
2763.62,POS Payment,9.0,Desktop,Boston,3,40,5,Net Banking,1
606.53,Bank Transfer,21.0,Desktop,Boston,0,113,9,Debit Card,1
735.52,Bill Payment,6.0,Tablet,Boston,1,106,2,Net Banking,1
3168.34,Bank Transfer,18.0,Tablet,Los Angeles,0,23,10,Credit Card,1
2094.05,POS Payment,18.0,Desktop,New York,4,81,8,Net Banking,1
4157.55,Online Purchase,9.0,Desktop,Los Angeles,1,36,7,Net Banking,1
2088.56,ATM Withdrawal,12.0,Tablet,Houston,3,22,6,Net Banking,1
3355.48,Online Purchase,4.0,Tablet,Houston,3,40,4,UPI,1
2143.07,Bill Payment,22.0,Mobile,Boston,0,68,2,Credit Card,1
215.93,Bank Transfer,3.0,Mobile,Boston,3,27,6,Credit Card,1
1666.85,Bill Payment,15.0,Desktop,Boston,3,70,1,Credit Card,1
4687.35,Bank Transfer,19.0,Desktop,Houston,1,40,3,UPI,1
146.35,Online Purchase,2.0,Tablet,Houston,2,61,4,Debit Card,1
2015.37,POS Payment,22.0,Unknown Device,Houston,3,83,6,Net Banking,1
2760.12,Online Purchase,6.0,Tablet,Los Angeles,2,107,14,Net Banking,1
3953.39,Bank Transfer,16.0,Desktop,Boston,1,32,7,UPI,1
4703.05,POS Payment,3.0,Desktop,Los Angeles,1,72,3,UPI,1
3881.56,Bill Payment,3.0,Desktop,Houston,0,100,11,Net Banking,1
3299.57,Bank Transfer,23.0,Tablet,Los Angeles,4,61,7,UPI,1
262.3,POS Payment,22.0,Desktop,Los Angeles,4,42,10,UPI,1
4982.54,POS Payment,15.0,Mobile,Los Angeles,1,53,9,Net Banking,1
3546.26,Bank Transfer,23.0,Desktop,Chicago,0,17,4,Invalid Method,1
894.15,Bill Payment,8.0,Desktop,Boston,0,99,14,Credit Card,1
1432.24,Bill Payment,14.0,Tablet,San Francisco,2,61,1,Credit Card,1
1201.95,Online Purchase,3.0,Tablet,Houston,2,46,3,UPI,1
1458.45,Bank Transfer,5.0,Tablet,Houston,3,85,10,UPI,1
509.38,POS Payment,18.0,Tablet,Miami,2,3,5,Net Banking,1
3038.25,Bank Transfer,23.0,Tablet,Los Angeles,3,73,7,Credit Card,1
1364.79,Online Purchase,17.0,Mobile,Houston,0,34,8,Net Banking,1
1515.86,Online Purchase,12.0,Desktop,Boston,0,45,9,UPI,1
3856.41,ATM Withdrawal,20.0,Desktop,Miami,2,67,11,Debit Card,1
3397.91,Bill Payment,18.0,Mobile,Miami,1,98,7,Net Banking,1
1900.56,Bank Transfer,23.0,Tablet,Houston,3,77,11,Net Banking,1
3162.8,Online Purchase,16.0,Desktop,Houston,4,25,10,Debit Card,1
3978.12,Bill Payment,9.0,Tablet,New York,4,78,1,UPI,1
3759.07,ATM Withdrawal,10.0,Desktop,Boston,1,21,6,Credit Card,1
3107.77,Bill Payment,13.0,Tablet,New York,2,46,2,UPI,1
3881.78,ATM Withdrawal,5.0,Unknown Device,Boston,2,5,11,Debit Card,1
4099.99,POS Payment,15.0,Tablet,New York,0,75,10,Debit Card,1
798.16,POS Payment,23.0,Desktop,Chicago,3,86,12,Credit Card,1
3402.39,Online Purchase,10.0,Mobile,Miami,4,113,5,UPI,1
752.27,Bank Transfer,11.0,Mobile,San Francisco,3,104,3,UPI,1
2327.05,Bank Transfer,19.0,Mobile,Boston,3,55,12,UPI,1
1858.44,Bill Payment,18.0,Desktop,Los Angeles,0,41,11,Invalid Method,1
1167.86,Online Purchase,9.0,Mobile,Boston,0,92,8,Debit Card,1
4075.92,POS Payment,16.0,Tablet,Chicago,3,5,7,Debit Card,1
3094.98,ATM Withdrawal,12.0,Mobile,Boston,1,81,14,Debit Card,1
1175.8,Bill Payment,21.0,Mobile,Boston,1,15,13,Debit Card,1
2961.49,ATM Withdrawal,6.0,Desktop,Chicago,1,36,13,Credit Card,1
977.06,Bill Payment,23.0,Tablet,Los Angeles,4,68,6,UPI,1
4330.06,ATM Withdrawal,1.0,Mobile,Miami,1,80,4,Net Banking,1
269.1,ATM Withdrawal,15.0,Mobile,Miami,1,3,2,Credit Card,1
4304.52,ATM Withdrawal,15.0,Desktop,San Francisco,3,72,1,UPI,1
1463.8,POS Payment,10.0,Desktop,Houston,4,49,6,Debit Card,1
380.78,Online Purchase,21.0,Desktop,Chicago,1,12,7,Net Banking,1
3239.0,Bill Payment,19.0,Mobile,Los Angeles,0,59,8,UPI,1
2086.87,ATM Withdrawal,20.0,Tablet,Houston,2,117,11,Net Banking,1
49997.8,Online Purchase,11.0,Desktop,Miami,1,117,7,Credit Card,1
2081.36,ATM Withdrawal,11.0,Tablet,Boston,1,20,6,UPI,1
513.44,Bill Payment,9.0,Mobile,Los Angeles,1,58,1,UPI,1
1494.9,Bill Payment,14.0,Tablet,Chicago,3,10,1,Debit Card,1
1920.21,Online Purchase,19.0,Tablet,Boston,2,15,7,Net Banking,1
3718.4,Bank Transfer,0.0,Desktop,Houston,1,108,6,UPI,1
1166.51,Bill Payment,18.0,Tablet,Houston,2,48,13,Debit Card,1
462.19,Online Purchase,14.0,Tablet,Chicago,0,75,13,Net Banking,1
2637.07,POS Payment,12.0,Desktop,Chicago,4,113,9,Debit Card,1
2596.85,Online Purchase,16.0,Mobile,New York,1,10,2,Credit Card,1
1932.7,Bank Transfer,3.0,Mobile,Chicago,0,100,8,Invalid Method,1
2913.45,Bill Payment,18.0,Desktop,San Francisco,1,22,3,Invalid Method,1
2860.47,Online Purchase,14.0,Mobile,Los Angeles,0,106,12,Invalid Method,1
1160.16,Bank Transfer,23.0,Tablet,Houston,2,100,14,Credit Card,1
4839.09,Bank Transfer,8.0,Desktop,Chicago,2,63,9,UPI,1
4487.82,Bill Payment,18.0,Desktop,Chicago,1,34,7,Debit Card,1
1630.12,Bank Transfer,16.0,Desktop,New York,1,100,13,Debit Card,1
3755.72,Bank Transfer,21.0,Tablet,Boston,0,54,13,Net Banking,1
2903.94,Bank Transfer,0.0,Desktop,Houston,0,102,3,Net Banking,1
3262.69,Online Purchase,20.0,Mobile,Boston,2,92,3,UPI,1
49997.8,Bank Transfer,1.0,Desktop,Los Angeles,3,11,4,Debit Card,1
1180.45,Bill Payment,20.0,Mobile,San Francisco,2,14,3,UPI,1
471.26,ATM Withdrawal,11.0,Tablet,New York,2,73,4,Debit Card,1
2791.16,Online Purchase,8.0,Tablet,Chicago,3,69,10,Debit Card,1
54.01,POS Payment,17.0,Desktop,Boston,4,45,2,UPI,1
3405.16,ATM Withdrawal,11.0,Tablet,New York,2,92,2,UPI,1
3072.89,Online Purchase,14.0,Mobile,Chicago,0,37,3,Debit Card,1
4396.99,POS Payment,22.0,Tablet,Boston,2,115,1,Credit Card,1
2532.26,Bill Payment,5.0,Mobile,Houston,3,32,3,UPI,1
4637.51,POS Payment,15.0,Mobile,Houston,4,6,1,UPI,1
1047.04,ATM Withdrawal,6.0,Desktop,Boston,0,28,1,Debit Card,1
562.7,ATM Withdrawal,2.0,Tablet,Chicago,4,22,4,Debit Card,1
2323.13,ATM Withdrawal,21.0,Tablet,Chicago,0,38,1,Debit Card,1
2217.74,Online Purchase,17.0,Mobile,Chicago,4,26,9,Credit Card,1
896.18,Bank Transfer,17.0,Desktop,Boston,2,8,2,Debit Card,1
2775.07,ATM Withdrawal,15.0,Mobile,Houston,2,59,12,UPI,1
1832.14,Bank Transfer,6.0,Desktop,Chicago,2,52,9,Debit Card,1
4630.28,POS Payment,13.0,Unknown Device,Boston,1,20,13,UPI,1
1437.68,Bill Payment,16.0,Mobile,Boston,3,96,13,Credit Card,1
1344.47,Online Purchase,14.0,Desktop,Boston,1,52,1,UPI,1
699.68,ATM Withdrawal,0.0,Tablet,Houston,0,75,2,Invalid Method,1
4796.42,Bill Payment,10.0,Tablet,Chicago,2,74,13,Credit Card,1
1215.48,Online Purchase,22.0,Mobile,Seattle,1,98,8,UPI,1
1944.29,Online Purchase,1.0,Tablet,Los Angeles,2,100,3,Debit Card,1
851.68,Online Purchase,12.0,Tablet,Houston,2,41,12,Credit Card,1
3965.09,POS Payment,9.0,Mobile,Houston,2,105,8,Debit Card,1
1884.61,POS Payment,3.0,Tablet,Boston,3,64,7,UPI,1
4982.76,ATM Withdrawal,8.0,Mobile,Chicago,3,26,13,Credit Card,1
440.92,Bill Payment,16.0,Mobile,Los Angeles,0,88,5,Net Banking,1
2740.63,ATM Withdrawal,3.0,Desktop,Chicago,4,84,3,Net Banking,1
4668.77,Bill Payment,18.0,Desktop,Boston,2,60,8,Net Banking,1
3639.21,Bill Payment,16.0,Desktop,Boston,4,87,1,UPI,1
2939.23,Bank Transfer,19.0,Desktop,Chicago,3,53,2,Credit Card,1
3679.36,ATM Withdrawal,22.0,Desktop,San Francisco,2,113,2,Credit Card,1
4887.54,POS Payment,22.0,Desktop,San Francisco,2,22,1,Net Banking,1
4078.91,ATM Withdrawal,9.0,Desktop,New York,0,43,3,UPI,1
617.26,Bill Payment,6.0,Mobile,Houston,0,89,8,Credit Card,1
3162.49,ATM Withdrawal,14.0,Mobile,Miami,2,91,4,Credit Card,1
3787.91,ATM Withdrawal,10.0,Mobile,Boston,0,12,6,Debit Card,1
3012.5,POS Payment,7.0,Desktop,Chicago,0,24,4,Net Banking,1
3224.14,ATM Withdrawal,23.0,Desktop,New York,3,108,13,UPI,1
2507.04,POS Payment,18.0,Tablet,San Francisco,4,103,8,Invalid Method,1
1928.36,Bill Payment,10.0,Mobile,Chicago,3,57,10,Debit Card,1
1719.53,Online Purchase,1.0,Tablet,Chicago,1,102,14,Debit Card,1
4735.1,Bill Payment,3.0,Mobile,Boston,1,111,8,UPI,1
112.97,Bank Transfer,12.0,Desktop,Chicago,0,88,9,Credit Card,1
4821.3,Bank Transfer,8.0,Mobile,Chicago,1,89,4,UPI,1
796.19,Online Purchase,23.0,Mobile,Houston,2,87,5,Credit Card,1
4096.76,Bill Payment,4.0,Tablet,Houston,2,61,5,Debit Card,1
3243.71,Online Purchase,18.0,Mobile,San Francisco,1,98,4,Debit Card,1
36.21,POS Payment,10.0,Tablet,Boston,0,23,7,UPI,1
4557.23,Bill Payment,11.0,Tablet,San Francisco,3,102,5,Credit Card,1
520.95,Bank Transfer,17.0,Mobile,Seattle,1,76,2,Debit Card,1
1762.28,ATM Withdrawal,11.0,Tablet,Chicago,0,1,6,Debit Card,1
3049.19,Online Purchase,23.0,Tablet,Chicago,2,10,9,Net Banking,1
159.34,ATM Withdrawal,6.0,Mobile,Chicago,0,91,5,Credit Card,1
1410.2,Bill Payment,6.0,Tablet,Boston,0,11,12,Credit Card,1
2076.66,POS Payment,14.0,Unknown Device,New York,0,116,3,Net Banking,1
4236.21,ATM Withdrawal,20.0,Mobile,Miami,0,99,8,Credit Card,1
4196.75,Online Purchase,11.0,Mobile,Boston,3,70,12,UPI,1
4239.21,Bill Payment,19.0,Tablet,Miami,2,115,2,Credit Card,1
